Time,Low,High,Open,Close,Volume,MinValue,MaxValue
1511910900,8350.99,8351.0,8351.0,8351.0,0.4871675500000001,2.0,32.0
1511910960,8350.99,8351.0,8351.0,8351.0,0.370206,4.0,34.0
1511911020,8350.99,8351.0,8351.0,8351.0,0.5373251300000002,6.0,36.0
1511911080,8350.99,8351.0,8351.0,8351.0,0.51,8.0,38.0
1511911140,8350.99,8351.0,8351.0,8351.0,0.4264046899999999,10.0,40.0
1511911200,8350.99,8351.0,8351.0,8351.0,0.6908940700000001,12.0,42.0
1511911260,8350.99,8351.0,8350.99,8351.0,0.12,14.0,44.0
1511911320,8350.99,8351.0,8351.0,8351.0,0.28,16.0,46.0
1511911380,8351.0,8351.0,8351.0,8351.0,0.32078849000000004,14.0,48.0
1511911440,8350.99,8351.0,8351.0,8351.0,1.2679705900000002,12.0,50.0
1511911500,8350.99,8351.0,8351.0,8351.0,0.4836153,10.0,52.0
1511911560,8350.99,8351.0,8350.99,8351.0,1.02456826,8.0,54.0
1511911620,8350.99,8351.0,8351.0,8351.0,0.38,6.0,56.0
1511911680,8350.99,8351.0,8351.0,8351.0,0.48100803,4.0,58.0
1511911740,8350.99,8351.0,8351.0,8351.0,0.48,2.0,60.0
1511911800,8351.0,8351.0,8351.0,8351.0,0.18,0.0,62.0
1511911860,8350.99,8351.0,8351.0,8350.99,0.22000000000000008,10.0,0.0
1511911920,8350.99,8351.0,8351.0,8351.0,0.30473704,2.0,66.0
1511911980,8350.99,8351.0,8351.0,8351.0,0.31424626000000005,4.0,68.0
1511912040,8350.99,8351.0,8351.0,8351.0,0.4700695600000001,4.0,70.0
1511912100,8350.99,8351.0,8351.0,8351.0,0.302,2.0,72.0
1511912160,8351.0,8351.0,8351.0,8351.0,0.28561027,0.0,74.0
1511912220,8350.74,8351.0,8350.99,8350.74,1.3696036,0.0,2.0
1511912280,8348.55,8350.64,8350.63,8350.52,0.4600000000000002,0.0,2.0
1511912340,8348.55,8350.47,8350.36,8348.55,0.25783551,10.0,0.0
1511912400,8349.03,8350.0,8350.0,8349.03,0.2917372500000001,0.0,4.0
1511912460,8348.55,8349.03,8349.03,8348.99,0.14790999999999999,2.0,2.0
1511912520,8348.55,8348.99,8348.99,8348.99,0.44779051,0.0,4.0
1511912580,8348.57,8348.57,8348.57,8348.57,0.11,2.0,2.0
1511912640,8347.91,8348.57,8348.57,8348.57,0.8211525800000001,0.0,4.0
1511912700,8344.96,8348.52,8347.91,8344.96,0.5776032400000001,34.0,0.0
1511912760,8344.96,8347.98,8344.96,8347.98,0.6428634800000002,0.0,4.0
1511912820,8345.04,8347.98,8347.97,8347.9,0.5064612900000001,0.0,2.0
1511912880,8345.35,8347.9,8347.9,8346.66,1.1800000000000002,6.0,0.0
1511912940,8347.32,8347.6,8347.59,8347.59,0.48659251,2.0,0.0
1511913000,8347.59,8347.6,8347.6,8347.6,0.75,2.0,6.0
1511913060,8347.59,8347.6,8347.6,8347.6,0.41,4.0,8.0
1511913120,8347.59,8347.6,8347.6,8347.6,0.5248207899999999,2.0,10.0
1511913180,8347.59,8347.6,8347.6,8347.6,0.28982168,0.0,12.0
1511913240,8347.59,8347.6,8347.6,8347.59,0.29994686000000004,4.0,2.0
1511913300,8347.59,8347.6,8347.6,8347.59,0.33505274,2.0,0.0
1511913360,8347.59,8347.6,8347.6,8347.6,0.16000238,0.0,18.0
1511913420,8347.56,8347.6,8347.6,8347.56,0.49494016,0.0,2.0
1511913480,8344.96,8347.56,8347.56,8344.96,0.33042000000000005,8.0,0.0
1511913540,8344.96,8344.97,8344.97,8344.97,0.2151,2.0,4.0
1511913600,8344.97,8344.97,8344.97,8344.97,0.36000000000000004,4.0,6.0
1511913660,8344.96,8344.97,8344.96,8344.97,0.3543700000000001,2.0,8.0
1511913720,8344.96,8344.97,8344.97,8344.97,0.04336965,0.0,10.0
1511913780,8344.95,8344.97,8344.97,8344.95,0.21688698,52.0,0.0
1511913840,8344.95,8344.96,8344.96,8344.96,0.4969663899999999,0.0,4.0
1511913900,8344.95,8344.96,8344.96,8344.95,0.14,48.0,0.0
1511913960,8344.95,8344.96,8344.96,8344.96,0.13339696,2.0,8.0
1511914020,8344.96,8344.96,8344.96,8344.96,0.23669389999999998,4.0,10.0
1511914080,8344.95,8344.96,8344.95,8344.96,0.26,2.0,12.0
1511914140,8344.95,8344.96,8344.96,8344.96,0.205,0.0,14.0
1511914200,8344.95,8344.96,8344.96,8344.95,0.18004085,38.0,0.0
1511914260,8344.95,8344.96,8344.95,8344.96,0.27,0.0,18.0
1511914320,8344.95,8344.96,8344.96,8344.95,0.25704086000000004,34.0,0.0
1511914380,8344.96,8344.96,8344.96,8344.96,0.45,2.0,22.0
1511914440,8344.96,8344.96,8344.96,8344.96,0.51,4.0,24.0
1511914500,8344.95,8344.96,8344.95,8344.96,0.3711268,6.0,26.0
1511914560,8344.95,8344.96,8344.96,8344.96,0.34847827000000003,8.0,28.0
1511914620,8344.95,8344.96,8344.96,8344.96,0.57586802,8.0,30.0
1511914680,8344.95,8344.96,8344.96,8344.96,0.7256120800000001,6.0,32.0
1511914740,8344.95,8344.96,8344.96,8344.96,0.12528023,4.0,34.0
1511914800,8344.96,8344.96,8344.96,8344.96,0.29,2.0,36.0
1511914860,8344.95,8344.96,8344.96,8344.96,0.90959715,0.0,38.0
1511914920,8344.95,8344.96,8344.96,8344.95,1.0533368,14.0,0.0
1511914980,8344.95,8344.96,8344.96,8344.96,0.7585896400000001,2.0,42.0
1511915040,8344.96,8344.96,8344.96,8344.96,0.2,4.0,44.0
1511915100,8344.95,8344.96,8344.96,8344.96,0.482613,6.0,46.0
1511915160,8344.95,8344.96,8344.96,8344.96,0.47,6.0,48.0
1511915220,8344.95,8344.96,8344.96,8344.96,0.8300000000000001,4.0,46.0
1511915280,8344.95,8344.96,8344.95,8344.96,0.09,2.0,44.0
1511915340,8344.96,8344.96,8344.96,8344.96,0.12,0.0,42.0
1511915400,8340.01,8344.96,8344.96,8340.01,0.6449928100000002,4.0,2.0
1511915460,8340.01,8340.01,8340.01,8340.01,0.33934236,2.0,4.0
1511915520,8340.01,8340.01,8340.01,8340.01,0.18869305000000008,0.0,6.0
1511915580,8339.94,8340.0,8340.0,8339.94,0.14754488,338.0,0.0
1511915640,8339.93,8339.95,8339.93,8339.95,0.35921156000000004,2.0,4.0
1511915700,8339.94,8339.95,8339.95,8339.95,0.30578844,4.0,6.0
1511915760,8339.94,8339.95,8339.95,8339.95,0.16545026,6.0,8.0
1511915820,8339.95,8339.95,8339.95,8339.95,0.12390148,8.0,10.0
1511915880,8339.94,8339.95,8339.94,8339.95,0.3366719300000001,10.0,12.0
1511915940,8339.94,8339.95,8339.95,8339.95,0.15999999999999998,12.0,14.0
1511916000,8339.94,8339.95,8339.94,8339.95,0.3,14.0,16.0
1511916060,8339.95,8339.95,8339.95,8339.95,0.5626206100000001,16.0,18.0
1511916120,8339.95,8339.95,8339.95,8339.95,0.09999999999999998,18.0,16.0
1511916180,8339.95,8339.95,8339.95,8339.95,0.25062061,20.0,14.0
1511916240,8339.94,8339.95,8339.95,8339.95,0.14766382,22.0,12.0
1511916300,8339.95,8339.95,8339.95,8339.95,0.11,24.0,10.0
1511916360,8339.94,8339.95,8339.94,8339.95,0.17555808,26.0,8.0
1511916420,8339.94,8339.95,8339.95,8339.95,0.43,28.0,6.0
1511916480,8339.95,8339.95,8339.95,8339.95,0.5700000000000001,30.0,4.0
1511916540,8339.94,8339.95,8339.95,8339.95,0.19664407,32.0,2.0
1511916600,8339.94,8339.95,8339.95,8339.95,0.8521391300000001,34.0,0.0
1511916660,8339.95,8350.0,8339.95,8350.0,0.08493681,2.0,30.0
1511916720,8350.0,8350.0,8350.0,8350.0,0.30292513,0.0,28.0
1511916780,8349.97,8350.0,8349.99,8349.97,0.07785744,6.0,0.0
1511916840,8349.1,8349.98,8349.1,8349.98,0.42299011,0.0,4.0
1511916900,8349.55,8349.98,8349.69,8349.97,0.11,2.0,0.0
