Time,Low,High,Open,Close,Volume
1513688460, 18198.98, 18199, 18198.98, 18199, 1.6683128200000004
1513688400, 18178.99, 18198.99, 18178.99, 18198.98, 4.61029659
1513688340, 18124.68, 18178.98, 18124.68, 18178.98, 7.136560909999999
1513688280, 18124.02, 18137.38, 18137.37, 18124.68, 6.90237315
1513688220, 18137.37, 18150.01, 18150, 18137.37, 3.146716590000001
1513688160, 18150, 18151, 18151, 18150, 3.3043303100000005
1513688100, 18151, 18200, 18200, 18151.01, 6.53968388
1513688040, 18200, 18200.01, 18200, 18200, 3.18341503
1513687980, 18200, 18225.47, 18225.47, 18200, 9.721432319999993
1513687920, 18225.47, 18290.93, 18290.93, 18225.47, 3.41692458
1513687860, 18290.94, 18290.95, 18290.95, 18290.94, 4.1009926299999995
1513687800, 18290.94, 18290.95, 18290.95, 18290.95, 1.8220532400000002
1513687740, 18290.94, 18299.99, 18291.03, 18290.94, 4.9793236699999985
1513687680, 18291.02, 18291.03, 18291.03, 18291.03, 1.8072231200000002
1513687620, 18291.02, 18291.03, 18291.02, 18291.03, 3.9282518500000005
1513687560, 18291.02, 18291.2, 18291.2, 18291.03, 7.59684504
1513687500, 18291.03, 18291.21, 18291.03, 18291.21, 2.19008509
1513687440, 18291.02, 18291.03, 18291.03, 18291.03, 5.880382020000001
1513687380, 18291.02, 18291.03, 18291.03, 18291.03, 8.220645970000003
1513687320, 18290.94, 18291.03, 18290.95, 18291.03, 4.3411842499999995
1513687260, 18290.94, 18290.96, 18290.96, 18290.94, 12.430050650000002
1513687200, 18290.95, 18290.96, 18290.96, 18290.96, 2.6199400799999997
1513687140, 18212.56, 18291, 18212.57, 18290.95, 3.4582296499999994
1513687080, 18198.99, 18212.57, 18199, 18212.56, 4.406127889999999
1513687020, 18198.99, 18199, 18198.99, 18199, 4.1652552599999995
1513686960, 18156.52, 18199, 18156.52, 18198.99, 5.808618600000001
1513686900, 18156.51, 18156.52, 18156.51, 18156.51, 3.87368765
1513686840, 18150.1, 18160.51, 18150.1, 18156.51, 4.671326560000002
1513686780, 18138, 18190.71, 18138.01, 18161.37, 5.278799760000001
1513686720, 18114.99, 18250, 18250, 18138.01, 3.6309912600000005
1513686660, 18250, 18250.01, 18250, 18250.01, 6.2091569300000025
1513686600, 18250, 18257.55, 18257.55, 18250, 11.411265769999998
1513686540, 18250, 18258.02, 18250.03, 18258, 4.6756874900000005
1513686480, 18250, 18261.99, 18251.23, 18250, 6.519689590000001
1513686420, 18250.56, 18263.94, 18263.94, 18250.86, 0.8500000000000001
1513686360, 18208.62, 18244.35, 18244.34, 18243.01, 6.36233148
1513686300, 18244.34, 18244.46, 18244.46, 18244.35, 3.4634484700000003
1513686240, 18171.79, 18244.46, 18171.8, 18244.46, 6.874632489999992
1513686180, 18158, 18192.04, 18158.94, 18171.8, 7.08497877
1513686120, 18158.93, 18259.97, 18259.97, 18158.94, 5.784184100000002
1513686060, 18249.98, 18259.98, 18249.99, 18259.97, 6.22296653
1513686000, 18249.98, 18249.99, 18249.99, 18249.99, 6.020284220000001
1513685940, 18149.08, 18249.99, 18149.08, 18249.98, 12.904953450000002
1513685880, 18145.01, 18149.09, 18146.34, 18149.09, 2.06756424
1513685820, 18108.02, 18185.45, 18108.02, 18147.62, 4.24696401
1513685760, 18074.99, 18107.99, 18074.99, 18107.99, 6.372637970000001
1513685700, 18074.99, 18075, 18074.99, 18074.99, 4.62357366
1513685640, 18048.64, 18048.99, 18048.65, 18048.99, 7.192587070000001
1513685580, 18048.64, 18048.66, 18048.66, 18048.65, 8.352893210000001
1513685520, 18048.65, 18048.66, 18048.66, 18048.66, 5.38701977
1513685460, 18020.01, 18048.66, 18048.65, 18048.65, 2.2724594600000003
